24.41 Mbps,20.62 Mbps,26.42 Mbps,
24.38 Mbps,16.7 Mbps,28.33 Mbps,
22.57 Mbps,19.3 Mbps,26.59 Mbps,
21.23 Mbps,18.23 Mbps,23.9 Mbps,
24.35 Mbps,20.9 Mbps,26.37 Mbps,
24.65 Mbps,21.52 Mbps,26.25 Mbps,
24.66 Mbps,18.05 Mbps,36.2 Mbps,
24.52 Mbps,20.36 Mbps,27.83 Mbps,
23.53 Mbps,18.85 Mbps,26.1 Mbps,
24.61 Mbps,18.99 Mbps,30.08 Mbps,
23.98 Mbps,18.75 Mbps,29.35 Mbps,
24.24 Mbps,19.68 Mbps,27.71 Mbps,
22.3 Mbps,18.9 Mbps,25.68 Mbps,
20.85 Mbps,15.72 Mbps,25.06 Mbps,
24.67 Mbps,18.81 Mbps,28.59 Mbps,
24.48 Mbps,22.36 Mbps,25.78 Mbps,
24.33 Mbps,22.43 Mbps,25.84 Mbps,
24.68 Mbps,21.31 Mbps,26.08 Mbps,
20.42 Mbps,19.41 Mbps,21.69 Mbps,
24.74 Mbps,20.96 Mbps,29.37 Mbps,
24.64 Mbps,20.65 Mbps,27.06 Mbps,
17.84 Mbps,16.76 Mbps,19.62 Mbps,
24.58 Mbps,22.13 Mbps,25.86 Mbps,
24.79 Mbps,15.25 Mbps,31.95 Mbps,
24.65 Mbps,21.19 Mbps,26.68 Mbps,
24.71 Mbps,21.3 Mbps,26.01 Mbps,
24.55 Mbps,13.16 Mbps,41.42 Mbps,
24.96 Mbps,21.06 Mbps,27.75 Mbps,
24.62 Mbps,21.03 Mbps,27.18 Mbps,
24.87 Mbps,20.39 Mbps,28.29 Mbps,
24.83 Mbps,22.51 Mbps,26.46 Mbps,
24.82 Mbps,20.68 Mbps,28.04 Mbps,
24.76 Mbps,21.32 Mbps,25.86 Mbps,
24.63 Mbps,22.75 Mbps,29.12 Mbps,
24.89 Mbps,23.72 Mbps,25.79 Mbps,
24.76 Mbps,22.42 Mbps,26.11 Mbps,
24.83 Mbps,23.5 Mbps,26.33 Mbps,
24.77 Mbps,22.91 Mbps,26.22 Mbps,
24.7 Mbps,20.79 Mbps,26.65 Mbps,
25.34 Mbps,23.11 Mbps,31.89 Mbps,
25.39 Mbps,22.51 Mbps,31.74 Mbps,
47.87 Mbps,45.84 Mbps,49.43 Mbps,
24.81 Mbps,22.55 Mbps,26.34 Mbps,
47.9 Mbps,45.49 Mbps,49.27 Mbps,
47.97 Mbps,47.7 Mbps,48.27 Mbps,
48.01 Mbps,46.67 Mbps,48.86 Mbps,
49.61 Mbps,45.15 Mbps,62.93 Mbps,
63.08 Mbps,62.28 Mbps,65.87 Mbps,
87.93 Mbps,87.65 Mbps,88.35 Mbps,
62.62 Mbps,61.43 Mbps,64.1 Mbps,
24.84 Mbps,20.1 Mbps,27.06 Mbps,
23.62 Mbps,23.62 Mbps,23.62 Mbps,
37.25 Mbps,33.26 Mbps,40.5 Mbps,
32.57 Mbps,24.48 Mbps,34.65 Mbps,
33.33 Mbps,26.22 Mbps,35.24 Mbps,
37.2 Mbps,32.07 Mbps,44.25 Mbps,
29.26 Mbps,22.04 Mbps,39.73 Mbps,
23.46 Mbps,16.44 Mbps,35.97 Mbps,
24.93 Mbps,20.24 Mbps,30.08 Mbps,
49.59 Mbps,47.16 Mbps,52.58 Mbps,
32.69 Mbps,24.94 Mbps,35.44 Mbps,
19.52 Mbps,16.96 Mbps,21.11 Mbps,
23.3 Mbps,19.71 Mbps,24.38 Mbps,
29.49 Mbps,21.9 Mbps,30.7 Mbps,
13.09 Mbps,6.87 Mbps,21.75 Mbps,
21.83 Mbps,18.53 Mbps,22.91 Mbps,
25.78 Mbps,19.12 Mbps,28.59 Mbps,
14.16 Mbps,8.9 Mbps,28.05 Mbps,
11.26 Mbps,10.69 Mbps,12.09 Mbps,
19.16 Mbps,16.9 Mbps,21.81 Mbps,
19.69 Mbps,15.84 Mbps,23.51 Mbps,
19.45 Mbps,15.9 Mbps,20.63 Mbps,
17.48 Mbps,10.28 Mbps,25.16 Mbps,
15.81 Mbps,12.29 Mbps,21.49 Mbps,
13.53 Mbps,8.81 Mbps,19.9 Mbps,
13.72 Mbps,12.16 Mbps,14.88 Mbps,
62.57 Mbps,59.36 Mbps,75.61 Mbps,
21.89 Mbps,21.32 Mbps,25.44 Mbps,
52.5 Mbps,47.34 Mbps,54.42 Mbps,
44.01 Mbps,42.58 Mbps,47.41 Mbps,
87.63 Mbps,83.84 Mbps,91.09 Mbps,
39.93 Mbps,38.79 Mbps,42.58 Mbps,
46.43 Mbps,42.94 Mbps,51.79 Mbps,
46.68 Mbps,41.13 Mbps,51.67 Mbps,
44.11 Mbps,42.92 Mbps,49.6 Mbps,
21.84 Mbps,21.36 Mbps,25.65 Mbps,
39.93 Mbps,38.81 Mbps,44.55 Mbps,
39.88 Mbps,38.63 Mbps,44.26 Mbps,
39.83 Mbps,39.07 Mbps,45.52 Mbps,
